Date,Open,High,Low,Close,Volume,OpenInt,Name
2008-06-18,4.95,5.0,4.0,4.0,1184,0,cbmg.us
2008-06-19,5.7,5.7,5.7,5.7,30,0,cbmg.us
2008-06-20,4.5,5.0,4.5,5.0,1285,0,cbmg.us
2008-06-23,4.5,5.0,4.0,5.0,4268,0,cbmg.us
2008-06-24,4.5,4.5,4.0,4.0,2443,0,cbmg.us
2008-06-25,3.75,4.3,3.75,4.0,749,0,cbmg.us
2008-06-26,4.0,4.0,3.75,3.8,3906,0,cbmg.us
2008-06-27,3.8,4.0,3.65,3.65,1015,0,cbmg.us
2008-06-30,4.0,4.0,3.6,4.0,1863,0,cbmg.us
2008-07-01,4.0,4.0,3.6,4.0,365,0,cbmg.us
2008-07-02,4.0,4.0,3.5,3.7,2294,0,cbmg.us
2008-07-03,4.0,4.0,3.0,4.0,431,0,cbmg.us
2008-07-07,4.0,4.0,3.7,3.75,2406,0,cbmg.us
2008-07-08,4.0,4.0,3.85,4.0,551,0,cbmg.us
2008-07-09,4.0,4.0,3.5,3.5,3746,0,cbmg.us
2008-07-10,3.8,3.8,3.5,3.5,499,0,cbmg.us
2008-07-11,3.5,3.5,3.0,3.5,217,0,cbmg.us
2008-07-14,3.5,4.0,3.0,3.9,1418,0,cbmg.us
2008-07-15,3.5,3.9,2.0,3.9,1056,0,cbmg.us
2008-07-16,2.0125,3.9,2.0125,3.9,257,0,cbmg.us
2008-07-17,3.9,3.9,2.7,2.7,497,0,cbmg.us
2008-07-18,2.7,3.9,2.7,3.5,2092,0,cbmg.us
2008-07-21,3.2,3.5,2.2,2.6,2621,0,cbmg.us
2008-07-22,3.5,3.5,2.3,2.5,1809,0,cbmg.us
2008-07-23,2.5,3.5,2.2,2.5,1897,0,cbmg.us
2008-07-24,3.0,3.0,3.0,3.0,442,0,cbmg.us
2008-07-25,2.5,3.0,2.5,3.0,810,0,cbmg.us
2008-07-28,3.0,3.2,3.0,3.0,1352,0,cbmg.us
2008-07-29,3.2,3.2,3.0,3.0,345,0,cbmg.us
2008-07-30,3.0,3.0,2.8,2.8,1484,0,cbmg.us
2008-07-31,2.5,3.0,2.2,3.0,1217,0,cbmg.us
2008-08-01,2.2,3.0,2.2,2.7,2137,0,cbmg.us
2008-08-04,3.0,3.0,2.1,2.5,963,0,cbmg.us
2008-08-05,3.0,3.0,2.1,2.5,750,0,cbmg.us
2008-08-06,2.5,2.5,2.0,2.5,2170,0,cbmg.us
2008-08-07,2.0,2.4,2.0,2.4,640,0,cbmg.us
2008-08-08,3.0,3.0,2.0,3.0,816,0,cbmg.us
2008-08-11,3.0,3.0,2.0,2.0,2193,0,cbmg.us
2008-08-12,3.0,3.0,1.5,3.0,309,0,cbmg.us
2008-08-13,3.0,3.0,1.8,3.0,1042,0,cbmg.us
2008-08-14,1.8,3.0,1.8,3.0,1368,0,cbmg.us
2008-08-15,2.0,3.0,2.0,3.0,615,0,cbmg.us
2008-08-18,3.0,3.0,2.0,3.0,584,0,cbmg.us
2008-08-19,2.0,2.4,2.0,2.4,1965,0,cbmg.us
2008-08-20,2.0,3.0,2.0,3.0,1920,0,cbmg.us
2008-08-21,2.0,2.5,2.0,2.0,1305,0,cbmg.us
2008-08-22,2.9,2.9,2.0,2.5,564,0,cbmg.us
2008-08-25,2.0,2.9,2.0,2.9,1068,0,cbmg.us
2008-08-26,3.0,3.0,2.0,2.0,490,0,cbmg.us
2008-08-27,2.0,3.0,2.0,3.0,424,0,cbmg.us
2008-08-28,2.4,3.0,2.1,3.0,205,0,cbmg.us
2008-08-29,2.1,3.0,2.1,3.0,32,0,cbmg.us
2008-09-02,2.1,3.0,2.1,2.5,774,0,cbmg.us
2008-09-03,2.5,3.0,2.5,3.0,42,0,cbmg.us
2008-09-04,3.0,3.0,2.6,3.0,390,0,cbmg.us
2008-09-05,2.5,2.5,2.5,2.5,12,0,cbmg.us
2008-09-08,2.6,3.0,2.5,2.5,345,0,cbmg.us
2008-09-09,2.5,3.0,2.5,2.5,402,0,cbmg.us
2008-09-10,2.5,3.0,2.3,3.0,155,0,cbmg.us
2008-09-11,3.0,3.9,2.3,3.9,915,0,cbmg.us
2008-09-12,3.0,3.9,2.5,3.5,738,0,cbmg.us
2008-09-15,3.6,3.6,2.5,3.0,949,0,cbmg.us
2008-09-16,3.0,3.0,2.7,2.7,300,0,cbmg.us
2008-09-17,2.7,3.6,2.5,3.5,834,0,cbmg.us
2008-09-18,3.5,3.5,2.5,3.5,756,0,cbmg.us
2008-09-19,2.5,3.0,2.5,3.0,1139,0,cbmg.us
2008-09-22,3.0,3.8,3.0,3.0,1875,0,cbmg.us
2008-09-23,3.0,3.5,3.0,3.5,2445,0,cbmg.us
2008-09-24,3.0,3.5,3.0,3.3,568,0,cbmg.us
2008-09-25,3.6,4.0,3.5,3.5,931,0,cbmg.us
2008-09-26,3.5,4.0,3.5,3.7,2518,0,cbmg.us
2008-09-29,4.0,4.0,3.5,3.5,841,0,cbmg.us
2008-09-30,3.7,5.0,3.3,4.9188,5492,0,cbmg.us
2008-10-01,5.0,5.0,4.0,4.0,3965,0,cbmg.us
2008-10-02,4.0,4.2,4.0,4.2,1152,0,cbmg.us
2008-10-03,4.5,5.0,4.5,4.6,3143,0,cbmg.us
2008-10-06,4.6,5.7,4.5,5.5,6646,0,cbmg.us
2008-10-07,5.7,7.0,5.0,6.0,1564,0,cbmg.us
2008-10-08,5.0,7.0,5.0,6.0,1047,0,cbmg.us
2008-10-09,6.0,7.5,6.0,6.7,3239,0,cbmg.us
2008-10-10,6.5,6.5,6.0,6.4,6623,0,cbmg.us
2008-10-13,6.1,7.1,6.1,7.1,2881,0,cbmg.us
2008-10-14,6.0,8.0,6.0,8.0,2301,0,cbmg.us
2008-10-15,8.0,8.0,6.0,7.0,2641,0,cbmg.us
2008-10-16,5.8,7.0,5.5,7.0,927,0,cbmg.us
2008-10-17,5.0,7.0,5.0,6.0,4989,0,cbmg.us
2008-10-20,5.0,6.0,5.0,6.0,3187,0,cbmg.us
2008-10-21,4.9,5.0,4.0,4.9,1710,0,cbmg.us
2008-10-22,4.0,4.5,4.0,4.5,1599,0,cbmg.us
2008-10-23,4.5,5.0,4.0,4.0,1771,0,cbmg.us
2008-10-24,4.0,4.2,3.8,4.0,1575,0,cbmg.us
2008-10-27,3.4,4.5,3.4,4.5,287,0,cbmg.us
2008-10-28,4.5,4.6,3.8,4.0,1383,0,cbmg.us
2008-10-29,4.5,4.6,3.0,3.0,2665,0,cbmg.us
2008-10-30,4.5,4.6,3.0,4.0,3804,0,cbmg.us
2008-10-31,4.0,4.0,3.1,4.0,6986,0,cbmg.us
2008-11-03,4.0,4.0,3.2,3.3,1915,0,cbmg.us
2008-11-04,3.3,4.0,3.3,4.0,3592,0,cbmg.us
2008-11-05,3.5,5.0,3.3,3.3,1804,0,cbmg.us
2008-11-06,3.3,3.3,2.9,3.0,2031,0,cbmg.us
2008-11-07,2.6,3.0,2.5,2.85,2414,0,cbmg.us
2008-11-10,2.9,4.0,2.5,3.0,2858,0,cbmg.us
2008-11-11,2.5,3.0,2.5,2.7,600,0,cbmg.us
2008-11-12,2.0,2.0,2.0,2.0,234,0,cbmg.us
2008-11-13,2.0,2.5,2.0,2.0,2300,0,cbmg.us
2008-11-14,2.3,2.3,2.0,2.0,3214,0,cbmg.us
2008-11-17,3.0,3.0,2.0,2.2,2016,0,cbmg.us
2008-11-18,2.3,2.3,1.6,1.6,1353,0,cbmg.us
2008-11-19,1.8,2.2,1.8,2.0,3690,0,cbmg.us
2008-11-20,2.0,2.0,2.0,2.0,1562,0,cbmg.us
2008-11-21,2.0,2.2,1.8,2.2,201,0,cbmg.us
2008-11-24,2.0,2.0,2.0,2.0,518,0,cbmg.us
2008-11-25,2.0,2.2,2.0,2.2,3250,0,cbmg.us
2008-11-26,2.0,2.1,2.0,2.0,1049,0,cbmg.us
2008-11-28,2.0,2.0,2.0,2.0,857,0,cbmg.us
2008-12-01,2.0,2.3,2.0,2.1,1734,0,cbmg.us
2008-12-02,2.1,2.1,2.0,2.1,911,0,cbmg.us
2008-12-03,2.2,3.0,2.0,2.3,1186,0,cbmg.us
2008-12-04,2.5,2.9,2.2,2.5,4705,0,cbmg.us
2008-12-05,2.5,2.5,2.2,2.5,2390,0,cbmg.us
2008-12-08,2.1,2.5,2.1,2.2,1320,0,cbmg.us
2008-12-09,2.2,2.3,2.1,2.3,1486,0,cbmg.us
2008-12-10,2.3,3.0,2.3,3.0,720,0,cbmg.us
2008-12-11,2.7,2.7,2.4,2.4,705,0,cbmg.us
2008-12-12,2.1,2.5,2.1,2.4,601,0,cbmg.us
2008-12-15,2.3,2.3,2.3,2.3,1790,0,cbmg.us
2008-12-16,2.3,2.4,2.3,2.4,2312,0,cbmg.us
2008-12-17,2.4,2.5,2.4,2.5,1800,0,cbmg.us
2008-12-18,2.5,3.0,2.5,3.0,1396,0,cbmg.us
2008-12-19,2.8,2.9,2.8,2.8,382,0,cbmg.us
2008-12-22,2.8,2.8,2.5,2.5,543,0,cbmg.us
2008-12-23,2.5,2.7,2.3,2.5,2183,0,cbmg.us
2008-12-26,2.2375,2.5,2.2375,2.5,651,0,cbmg.us
2008-12-29,2.5,2.5,2.0,2.0,3206,0,cbmg.us
2008-12-30,2.0,2.1,2.0,2.0,911,0,cbmg.us
2008-12-31,2.0,2.0,2.0,2.0,614,0,cbmg.us
2009-01-02,2.1,2.2,1.9,2.0,4957,0,cbmg.us
2009-01-05,2.0,2.0,2.0,2.0,519,0,cbmg.us
