Date,Open,High,Low,Close,Volume,OpenInt,Name
2010-12-13,990.5,1009.75,978.25,1004.0,3550,0,dust.us
2010-12-14,999.75,1014.25,985.0,1003.75,3346,0,dust.us
2010-12-15,1027.5,1044.75,1006.0,1041.0,2895,0,dust.us
2010-12-16,1048.0,1093.5,1048.0,1072.75,2921,0,dust.us
2010-12-17,1069.25,1094.25,1060.75,1071.75,661,0,dust.us
2010-12-20,1055.5,1077.25,1047.5,1055.0,1975,0,dust.us
2010-12-21,1048.5,1072.25,1048.0,1058.5,520,0,dust.us
2010-12-22,1057.25,1081.75,1057.25,1081.0,500,0,dust.us
2010-12-23,1080.75,1088.25,1050.75,1064.75,337,0,dust.us
2010-12-27,1064.0,1098.0,1064.0,1078.25,1020,0,dust.us
2010-12-28,1036.5,1055.75,1018.0,1020.75,1415,0,dust.us
2010-12-29,1014.25,1023.0,1005.0,1014.25,349,0,dust.us
2010-12-30,1011.25,1035.5,1005.25,1029.75,307,0,dust.us
2010-12-31,1023.25,1023.25,1001.0,1009.5,1010,0,dust.us
2011-01-03,994.0,1043.5,992.25,1032.5,1355,0,dust.us
2011-01-04,1054.5,1124.5,1051.0,1090.5,2245,0,dust.us
2011-01-05,1115.75,1144.0,1106.75,1118.5,1291,0,dust.us
2011-01-06,1117.25,1182.75,1117.25,1176.0,2198,0,dust.us
2011-01-07,1190.75,1190.75,1137.75,1176.5,2115,0,dust.us
2011-01-10,1170.25,1194.25,1164.5,1168.75,666,0,dust.us
2011-01-11,1134.5,1151.5,1121.0,1122.5,837,0,dust.us
2011-01-12,1116.75,1151.25,1116.75,1125.75,979,0,dust.us
2011-01-13,1118.75,1214.0,1118.5,1201.25,1723,0,dust.us
2011-01-14,1223.0,1261.75,1223.0,1249.75,3324,0,dust.us
2011-01-18,1218.0,1223.75,1196.5,1208.5,2549,0,dust.us
2011-01-19,1182.5,1244.75,1182.25,1230.75,2006,0,dust.us
2011-01-20,1280.75,1314.5,1258.0,1263.0,6144,0,dust.us
2011-01-21,1269.25,1292.0,1250.0,1290.0,2132,0,dust.us
