Date,Open,High,Low,Close,Volume,OpenInt,Name
2017-04-10,10.1,10.1,10.0999,10.0999,1400,0,gsht.us
2017-04-19,10.0,10.0,10.0,10.0,51760,0,gsht.us
2017-05-01,10.0,10.0,9.8,9.9,154494,0,gsht.us
2017-05-02,9.9,9.9,9.85,9.85,179800,0,gsht.us
2017-05-03,9.8,9.8554,9.8,9.8,701125,0,gsht.us
2017-05-04,9.8,10.51,9.8,10.51,275900,0,gsht.us
2017-05-05,10.05,10.5,10.0,10.5,19060,0,gsht.us
2017-05-09,9.95,10.44,9.9,9.91,1967,0,gsht.us
2017-05-11,10.2,10.5,9.98,10.16,24592,0,gsht.us
2017-05-15,10.05,11.24,9.93,11.24,88571,0,gsht.us
2017-05-16,10.12,10.37,10.0,10.27,14142,0,gsht.us
2017-05-17,9.3,10.05,9.3,10.0,1850,0,gsht.us
2017-05-18,9.91,10.0,9.85,10.0,3976,0,gsht.us
2017-05-23,10.0,10.05,10.0,10.03,2620,0,gsht.us
2017-05-24,9.99,10.0,9.99,10.0,1391,0,gsht.us
2017-05-25,9.95,9.95,9.95,9.95,1500,0,gsht.us
2017-05-26,10.0,10.0,9.86,9.86,2881,0,gsht.us
2017-05-30,9.99,10.05,9.85,9.85,4999,0,gsht.us
2017-06-01,9.85,10.2,9.85,10.05,24363,0,gsht.us
2017-06-02,10.14,10.18,10.0,10.0,5198,0,gsht.us
2017-06-05,10.02,10.02,9.9874,10.0,33800,0,gsht.us
2017-06-06,9.87,9.92,9.85,9.92,3306,0,gsht.us
2017-06-07,10.0,10.08,9.975,10.07,130000,0,gsht.us
2017-06-12,10.1,10.1,10.1,10.1,2417,0,gsht.us
2017-06-13,10.0,10.04,10.0,10.01,150400,0,gsht.us
2017-06-14,10.0,10.03,10.0,10.0,39937,0,gsht.us
2017-06-15,10.01,10.02,10.01,10.01,103800,0,gsht.us
2017-06-19,10.0,10.0,9.95,10.0,42912,0,gsht.us
2017-06-20,10.23,10.25,9.96,9.99,23801,0,gsht.us
2017-06-21,9.97,10.04,9.97,10.04,2492,0,gsht.us
2017-06-22,10.0,10.0503,10.0,10.02,2634,0,gsht.us
2017-06-23,9.98,10.08,9.98,10.08,290,0,gsht.us
2017-06-26,10.025,10.03,10.01,10.0184,201871,0,gsht.us
2017-06-27,9.98,10.01,9.98,10.01,350,0,gsht.us
2017-06-28,10.02,10.02,10.01,10.01,7219,0,gsht.us
2017-06-29,10.0,10.04,10.0,10.04,8678,0,gsht.us
2017-06-30,10.0,10.03,10.0,10.03,4311,0,gsht.us
2017-07-03,10.0,10.02,9.99,10.0,31603,0,gsht.us
2017-07-05,9.98,10.19,9.98,10.19,79768,0,gsht.us
2017-07-06,9.98,10.03,9.98,10.0,3973,0,gsht.us
2017-07-07,10.0,10.1,10.0,10.1,1112,0,gsht.us
2017-07-10,10.0,10.04,10.0,10.04,3859,0,gsht.us
2017-07-11,10.05,10.05,10.05,10.05,100,0,gsht.us
2017-07-13,10.01,10.01,10.01,10.01,100,0,gsht.us
2017-07-17,10.0,10.0,10.0,10.0,758,0,gsht.us
2017-07-18,10.0,10.01,9.98,10.0,117930,0,gsht.us
2017-07-20,10.0782,10.0999,10.0378,10.0472,18180,0,gsht.us
2017-07-21,10.07,10.1899,10.0,10.0027,33215,0,gsht.us
2017-07-25,10.06,10.1,10.06,10.1,1000,0,gsht.us
2017-07-26,10.06,10.06,10.0,10.05,7200,0,gsht.us
2017-07-27,10.1,10.1,10.1,10.1,300,0,gsht.us
2017-08-01,10.04,10.04,10.0,10.0008,35680,0,gsht.us
2017-08-02,10.04,10.04,10.02,10.02,25000,0,gsht.us
2017-08-03,10.06,10.06,10.06,10.06,200,0,gsht.us
2017-08-09,10.0,10.02,10.0,10.01,250707,0,gsht.us
2017-08-10,10.0,10.01,10.0,10.01,35507,0,gsht.us
2017-08-11,10.0,10.02,10.0,10.02,18893,0,gsht.us
2017-08-14,10.07,10.08,10.07,10.08,1700,0,gsht.us
2017-08-15,10.0,10.0,10.0,10.0,25600,0,gsht.us
2017-08-16,10.01,10.01,10.0,10.0,16438,0,gsht.us
2017-08-18,10.05,10.05,10.05,10.05,800,0,gsht.us
2017-08-21,10.0,10.02,9.9801,10.02,1900,0,gsht.us
2017-08-23,9.94,10.005,9.93,9.96,627988,0,gsht.us
2017-08-24,9.96,9.99,9.96,9.98,3016,0,gsht.us
2017-08-25,9.99,10.0,9.97,9.99,479615,0,gsht.us
2017-08-28,9.96,9.9899,9.96,9.96,1274,0,gsht.us
2017-09-01,9.95,9.95,9.95,9.95,75700,0,gsht.us
2017-09-06,9.95,9.98,9.95,9.98,10163,0,gsht.us
2017-09-11,9.9999,9.9999,9.96,9.96,1100,0,gsht.us
2017-09-12,9.97,9.97,9.96,9.96,200100,0,gsht.us
2017-09-14,9.96,9.96,9.95,9.95,215975,0,gsht.us
2017-09-15,9.95,9.97,9.95,9.96,9100,0,gsht.us
2017-09-18,9.95,9.96,9.95,9.96,27327,0,gsht.us
2017-09-21,9.94,9.95,9.94,9.95,15413,0,gsht.us
