Date,Open,High,Low,Close,Volume,OpenInt,Name
2017-10-18,33.02,33.02,33.0,33.0,1103,0,hevy.us
2017-10-19,35.0,35.0,33.26,33.26,1404,0,hevy.us
2017-10-20,32.771,32.771,32.771,32.771,104,0,hevy.us
2017-10-25,33.22,33.22,33.22,33.22,405,0,hevy.us
2017-10-27,32.67,32.67,32.41,32.64,3551,0,hevy.us
2017-11-03,33.13,33.13,33.13,33.13,300,0,hevy.us
2017-11-09,32.67,32.67,32.67,32.67,600,0,hevy.us
2017-10-18,33.02,33.02,33.0,33.0,1103,0,hevy.us
2017-10-19,35.0,35.0,33.26,33.26,1404,0,hevy.us
2017-10-20,32.771,32.771,32.771,32.771,104,0,hevy.us
2017-10-25,33.22,33.22,33.22,33.22,405,0,hevy.us
2017-10-27,32.67,32.67,32.41,32.64,3551,0,hevy.us
2017-11-03,33.13,33.13,33.13,33.13,300,0,hevy.us
2017-11-09,32.67,32.67,32.67,32.67,600,0,hevy.us
