Date,Open,High,Low,Close,Volume,OpenInt,Name
2017-03-31,10.0,10.02,10.0,10.02,4038310,0,kaacu.us
2017-04-03,10.04,10.04,10.0,10.01,1858684,0,kaacu.us
2017-04-04,10.01,10.0101,10.0,10.0,1577083,0,kaacu.us
2017-04-05,10.01,10.02,10.0,10.0,207962,0,kaacu.us
2017-04-06,10.02,10.02,10.0,10.0,473722,0,kaacu.us
2017-04-07,10.01,10.01,10.0,10.0,299062,0,kaacu.us
2017-04-10,10.0,10.01,10.0,10.0,169494,0,kaacu.us
2017-04-11,10.007,10.01,10.0,10.0,176050,0,kaacu.us
2017-04-12,10.17,10.17,10.0,10.02,33110,0,kaacu.us
2017-04-13,10.0158,10.02,10.0099,10.01,3375,0,kaacu.us
2017-04-17,10.01,10.08,10.0,10.01,22990,0,kaacu.us
2017-04-18,10.02,10.05,10.0098,10.05,380431,0,kaacu.us
2017-04-19,10.0298,10.05,10.0101,10.04,106487,0,kaacu.us
2017-04-20,10.04,10.04,10.0,10.04,20800,0,kaacu.us
2017-04-21,10.0,10.04,10.0,10.04,11084,0,kaacu.us
2017-04-24,10.04,10.04,9.98,9.98,742790,0,kaacu.us
2017-04-25,10.0,10.03,9.99,10.0,1082912,0,kaacu.us
2017-04-26,10.0,10.01,9.99,10.0,421475,0,kaacu.us
2017-04-27,9.99,10.01,9.987,10.0,156346,0,kaacu.us
2017-04-28,10.0,10.01,10.0,10.0,9101,0,kaacu.us
2017-05-01,10.0,10.0,9.97,10.0,99293,0,kaacu.us
2017-05-02,10.0,10.01,9.986,9.99,173696,0,kaacu.us
2017-05-03,10.03,10.03,10.01,10.03,24825,0,kaacu.us
2017-05-04,10.05,10.05,9.99,10.0,17305,0,kaacu.us
2017-05-05,10.0,10.01,9.97,9.9893,10616,0,kaacu.us
2017-05-08,9.99,9.99,9.98,9.98,5800,0,kaacu.us
2017-05-09,9.99,9.99,9.97,9.97,8800,0,kaacu.us
2017-05-10,9.98,9.99,9.97,9.98,47100,0,kaacu.us
2017-05-11,9.99,9.99,9.97,9.97,18202,0,kaacu.us
