Date,Open,High,Low,Close,Volume,OpenInt,Name
2016-12-07,41.0,41.0,41.0,41.0,229,0,lexeb.us
2017-04-19,46.927,46.927,46.927,46.927,216,0,lexeb.us
2017-04-25,48.4666,48.4666,48.46,48.46,511,0,lexeb.us
2017-05-08,50.1701,50.1701,50.1701,50.1701,100,0,lexeb.us
2017-06-06,53.3018,53.4599,53.3018,53.4599,478,0,lexeb.us
2017-07-27,56.91,57.52,56.1646,56.1646,700,0,lexeb.us
2017-08-04,56.64,56.7635,56.64,56.7635,267,0,lexeb.us
2017-08-09,53.7239,53.7239,53.7239,53.7239,167,0,lexeb.us
2017-08-11,53.4,53.4,53.4,53.4,100,0,lexeb.us
2017-08-25,53.69,53.69,53.69,53.69,352,0,lexeb.us
2017-08-29,51.7,52.08,51.7,52.08,200,0,lexeb.us
2017-09-06,51.94,52.61,51.93,52.61,1043,0,lexeb.us
2017-10-13,55.0,55.0,55.0,55.0,100,0,lexeb.us
