Date,Open,High,Low,Close,Volume,OpenInt,Name
2016-12-19,1095.55,1095.55,1095.55,1095.55,100,0,mtb_.us
2017-01-10,1015.0,1015.0,1015.0,1015.0,204,0,mtb_.us
2017-01-13,1040.0,1042.5,1040.0,1042.5,1200,0,mtb_.us
2017-02-17,1075.0,1075.0,1075.0,1075.0,120,0,mtb_.us
2017-03-22,1030.0,1032.5,1030.0,1032.5,40004,0,mtb_.us
2017-03-24,1035.0,1035.0,1035.0,1035.0,125,0,mtb_.us
2017-03-27,1030.0,1030.0,1030.0,1030.0,460,0,mtb_.us
2017-03-28,1039.98,1039.98,1039.98,1039.98,569,0,mtb_.us
2017-05-24,1045.0,1047.5,1045.0,1047.5,2000,0,mtb_.us
2017-08-04,1035.0,1035.0,1035.0,1035.0,300,0,mtb_.us
2017-08-08,1034.99,1034.99,1034.99,1034.99,110,0,mtb_.us
2017-08-09,1025.0,1035.0,1025.0,1035.0,608,0,mtb_.us
2017-08-15,1030.0,1030.0,1030.0,1030.0,572,0,mtb_.us
2017-09-25,1026.0,1026.0,1026.0,1026.0,214,0,mtb_.us
2017-11-02,1058.0,1058.0,1058.0,1058.0,976,0,mtb_.us
2017-11-07,1059.59,1059.59,1059.59,1059.59,137,0,mtb_.us
