Date,Open,High,Low,Close,Volume,OpenInt,Name
2005-02-25,1388.8,1421.6,1388.8,1421.6,22,0,ophc.us
2005-02-28,1420.4,1420.4,1417.6,1418.8,4,0,ophc.us
2005-03-01,1421.6,1474.0,1421.6,1474.0,2,0,ophc.us
2005-03-03,1409.6,1409.6,1409.6,1409.6,4,0,ophc.us
2005-03-04,1421.6,1480.8,1421.6,1449.2,6,0,ophc.us
2005-03-07,1402.0,1402.0,1402.0,1402.0,2,0,ophc.us
2005-03-08,1388.8,1388.8,1388.8,1388.8,8,0,ophc.us
2005-03-09,1440.0,1499.2,1420.4,1441.2,27,0,ophc.us
2005-03-10,1417.6,1467.6,1411.2,1415.2,16,0,ophc.us
2005-03-11,1403.2,1403.2,1403.2,1403.2,2,0,ophc.us
2005-03-15,1403.6,1403.6,1403.2,1403.2,5,0,ophc.us
2005-03-16,1402.0,1402.0,1349.2,1349.2,7,0,ophc.us
2005-03-17,1363.6,1363.6,1363.6,1363.6,1,0,ophc.us
2005-03-18,1379.6,1380.8,1350.4,1362.8,19,0,ophc.us
2005-03-21,1349.2,1444.0,1349.2,1384.8,21,0,ophc.us
2005-03-22,1349.2,1349.2,1349.2,1349.2,5,0,ophc.us
2005-03-23,1368.8,1368.8,1368.8,1368.8,5,0,ophc.us
2005-04-01,1402.0,1402.0,1402.0,1402.0,2,0,ophc.us
2005-04-04,1415.2,1415.2,1408.4,1408.4,27,0,ophc.us
2005-04-12,1415.2,1415.2,1382.0,1382.0,8,0,ophc.us
2005-04-13,1382.0,1382.0,1382.0,1382.0,2,0,ophc.us
2005-04-15,1349.2,1349.2,1349.2,1349.2,27,0,ophc.us
2005-04-18,1342.8,1342.8,1303.2,1303.2,47,0,ophc.us
2005-04-19,1322.8,1382.0,1322.8,1382.0,29,0,ophc.us
2005-04-20,1316.4,1316.4,1316.4,1316.4,2,0,ophc.us
2005-04-21,1368.8,1421.6,1368.8,1421.6,9,0,ophc.us
2005-04-25,1326.8,1333.6,1326.8,1333.6,2,0,ophc.us
2005-04-26,1322.8,1322.8,1322.8,1322.8,23,0,ophc.us
2005-04-27,1322.8,1322.8,1322.8,1322.8,4,0,ophc.us
2005-05-02,1418.8,1418.8,1418.8,1418.8,3,0,ophc.us
2005-05-03,1448.0,1513.6,1316.4,1382.0,9,0,ophc.us
2005-05-04,1421.6,1421.6,1316.4,1316.4,8,0,ophc.us
2005-05-06,1346.0,1346.0,1346.0,1346.0,4,0,ophc.us
2005-05-10,1316.4,1316.4,1316.4,1316.4,4,0,ophc.us
2005-05-11,1316.4,1316.4,1316.4,1316.4,7,0,ophc.us
2005-05-12,1317.6,1317.6,1317.6,1317.6,4,0,ophc.us
2005-05-13,1579.6,1579.6,1512.4,1553.2,15,0,ophc.us
2005-05-16,1316.4,1316.4,1316.4,1316.4,5,0,ophc.us
2005-05-17,1338.8,1338.8,1338.8,1338.8,2,0,ophc.us
2005-05-19,1361.2,1363.6,1361.2,1363.6,2,0,ophc.us
2005-05-20,1326.8,1330.8,1322.8,1322.8,3,0,ophc.us
2005-05-25,1317.6,1317.6,1316.4,1316.4,5,0,ophc.us
2005-06-01,1356.0,1356.0,1356.0,1356.0,1,0,ophc.us
2005-06-03,1426.4,1426.4,1426.4,1426.4,1,0,ophc.us
2005-06-07,1402.0,1402.0,1402.0,1402.0,2,0,ophc.us
2005-06-10,1349.2,1349.2,1349.2,1349.2,160,0,ophc.us
2005-06-13,1349.2,1349.2,1349.2,1349.2,257,0,ophc.us
2005-06-20,1416.4,1416.4,1416.4,1416.4,11,0,ophc.us
2005-06-27,1356.0,1448.0,1356.0,1448.0,3,0,ophc.us
2005-07-06,1415.2,1415.2,1415.2,1415.2,23,0,ophc.us
2005-07-07,1382.0,1382.0,1382.0,1382.0,4,0,ophc.us
2005-07-08,1382.0,1382.0,1382.0,1382.0,1,0,ophc.us
2005-07-11,1382.0,1434.8,1382.0,1434.8,14,0,ophc.us
2005-07-14,1434.8,1434.8,1426.8,1426.8,27,0,ophc.us
2005-07-27,1426.8,1434.8,1426.8,1434.8,18,0,ophc.us
2005-07-28,1474.4,1474.4,1474.4,1474.4,1,0,ophc.us
2005-07-29,1408.4,1408.4,1356.0,1391.2,26,0,ophc.us
2005-08-04,1408.4,1408.4,1408.4,1408.4,2,0,ophc.us
2005-08-05,1390.8,1392.8,1370.4,1386.0,26,0,ophc.us
2005-08-10,1354.4,1357.2,1303.2,1329.6,102,0,ophc.us
2005-08-12,1316.4,1316.4,1316.4,1316.4,2,0,ophc.us
2005-08-15,1344.0,1344.0,1344.0,1344.0,8,0,ophc.us
2005-08-16,1344.0,1367.6,1344.0,1367.6,3,0,ophc.us
2005-08-17,1316.4,1344.0,1316.4,1344.0,3,0,ophc.us
2005-08-19,1334.8,1334.8,1334.8,1334.8,2,0,ophc.us
2005-08-22,1352.0,1352.0,1352.0,1352.0,2,0,ophc.us
2005-08-25,1342.8,1342.8,1342.8,1342.8,2,0,ophc.us
2005-08-29,1334.8,1334.8,1334.8,1334.8,1,0,ophc.us
2005-08-30,1334.8,1334.8,1330.8,1330.8,10,0,ophc.us
2005-08-31,1330.8,1330.8,1330.8,1330.8,8,0,ophc.us
2005-09-06,1349.2,1368.8,1348.0,1349.2,4,0,ophc.us
2005-09-13,1329.6,1329.6,1329.6,1329.6,12,0,ophc.us
2005-09-14,1322.8,1336.0,1321.6,1336.0,15,0,ophc.us
2005-09-15,1322.8,1322.8,1321.6,1321.6,5,0,ophc.us
2005-09-19,1325.6,1325.6,1325.6,1325.6,2,0,ophc.us
2005-09-20,1316.4,1316.4,1316.4,1316.4,15,0,ophc.us
2005-09-22,1290.0,1303.2,1290.0,1303.2,5,0,ophc.us
2005-09-23,1290.0,1316.4,1290.0,1303.2,9,0,ophc.us
2005-09-26,1303.2,1303.2,1303.2,1303.2,5,0,ophc.us
2005-09-27,1309.6,1309.6,1303.2,1303.2,9,0,ophc.us
2005-09-28,1316.4,1316.4,1303.2,1303.2,3,0,ophc.us
2005-10-05,1342.8,1382.0,1342.8,1382.0,5,0,ophc.us
2005-10-26,1316.4,1316.4,1316.4,1316.4,1,0,ophc.us
2005-10-31,1330.0,1330.0,1330.0,1330.0,3,0,ophc.us
2005-11-01,1317.6,1317.6,1317.6,1317.6,8,0,ophc.us
2005-11-03,1349.2,1349.2,1349.2,1349.2,2,0,ophc.us
2005-11-09,1329.6,1329.6,1322.8,1322.8,5,0,ophc.us
2005-11-18,1324.4,1324.4,1318.8,1322.8,24,0,ophc.us
2005-11-22,1370.4,1382.0,1342.8,1342.8,7,0,ophc.us
2005-12-01,1316.4,1316.4,1303.2,1303.2,13,0,ophc.us
2005-12-02,1303.2,1316.0,1303.2,1316.0,3,0,ophc.us
2005-12-05,1341.2,1356.0,1341.2,1345.6,14,0,ophc.us
2005-12-08,1316.4,1316.4,1316.4,1316.4,1,0,ophc.us
2005-12-09,1342.8,1342.8,1342.8,1342.8,1,0,ophc.us
2005-12-14,1322.8,1322.8,1322.8,1322.8,8,0,ophc.us
2005-12-16,1322.8,1322.8,1322.8,1322.8,2,0,ophc.us
2005-12-20,1342.8,1342.8,1342.8,1342.8,1,0,ophc.us
2005-12-27,1316.4,1316.4,1316.4,1316.4,204,0,ophc.us
2005-12-30,1346.0,1346.0,1346.0,1346.0,1,0,ophc.us
2006-01-10,1349.2,1349.2,1349.2,1349.2,2,0,ophc.us
2006-01-13,1355.6,1382.0,1355.6,1382.0,6,0,ophc.us
2006-01-17,1382.0,1382.0,1382.0,1382.0,42,0,ophc.us
2006-01-20,1341.2,1382.0,1322.8,1382.0,27,0,ophc.us
2006-01-26,1382.0,1382.0,1382.0,1382.0,2,0,ophc.us
2006-01-27,1446.8,1474.4,1446.8,1461.2,83,0,ophc.us
2006-01-30,1474.4,1525.6,1461.2,1512.8,45,0,ophc.us
2006-02-01,1449.2,1468.8,1449.2,1468.8,14,0,ophc.us
2006-02-02,1450.4,1499.2,1450.4,1480.8,5,0,ophc.us
2006-02-03,1500.8,1500.8,1500.8,1500.8,8,0,ophc.us
2006-02-07,1480.8,1480.8,1480.8,1480.8,1,0,ophc.us
2006-02-08,1502.4,1502.4,1502.4,1502.4,1,0,ophc.us
2006-02-14,1487.6,1487.6,1487.6,1487.6,4,0,ophc.us
2006-02-15,1507.2,1507.2,1507.2,1507.2,3,0,ophc.us
2006-02-21,1494.0,1494.0,1494.0,1494.0,11,0,ophc.us
2006-02-22,1500.8,1500.8,1500.8,1500.8,4,0,ophc.us
