Date,Open,High,Low,Close,Volume,OpenInt,Name
2016-12-15,16.2499,16.25,15.9579,16.25,2389,0,rdib.us
2016-12-20,15.66,18.8423,15.66,18.2,6104,0,rdib.us
2016-12-23,18.88,18.9401,18.88,18.88,930,0,rdib.us
2016-12-29,18.8801,18.8801,18.8801,18.8801,770,0,rdib.us
2016-12-30,18.88,18.8801,18.88,18.8801,328,0,rdib.us
2017-01-23,18.5,18.5,18.5,18.5,498,0,rdib.us
2017-01-30,17.02,17.02,17.0,17.02,941,0,rdib.us
2017-02-03,20.42,20.42,20.34,20.34,661,0,rdib.us
2017-02-10,18.04,18.04,16.75,16.75,1046,0,rdib.us
2017-03-01,16.64,16.64,16.55,16.55,2250,0,rdib.us
2017-03-02,18.08,18.21,18.08,18.21,520,0,rdib.us
2017-03-08,16.29,16.29,16.29,16.29,104,0,rdib.us
2017-03-17,16.9499,17.3201,16.8679,17.32,2098,0,rdib.us
2017-03-20,17.7876,18.0717,17.75,18.0717,3390,0,rdib.us
2017-03-27,18.48,18.48,18.48,18.48,269,0,rdib.us
2017-04-04,18.48,18.48,18.48,18.48,578,0,rdib.us
2017-04-06,17.16,17.16,17.16,17.16,106,0,rdib.us
2017-04-07,18.0,18.0,18.0,18.0,107,0,rdib.us
2017-07-05,18.0,18.0,18.0,18.0,111,0,rdib.us
2017-07-07,19.0,19.0001,19.0,19.0001,836,0,rdib.us
2017-07-12,19.0,19.0,19.0,19.0,111,0,rdib.us
2017-07-13,19.043,19.043,19.0,19.0,1401,0,rdib.us
2017-08-02,19.05,19.05,19.05,19.05,500,0,rdib.us
2017-08-17,20.0,20.0,20.0,20.0,103,0,rdib.us
2017-08-31,20.0,21.016,20.0,21.016,742,0,rdib.us
2017-09-11,22.52,22.52,22.52,22.52,285,0,rdib.us
2017-11-06,22.0,22.0,22.0,22.0,400,0,rdib.us
