Date,Open,High,Low,Close,Volume,OpenInt,Name
2011-12-06,77.5,81.25,75.0,80.25,16416,0,teum.us
2011-12-07,81.25,84.0,79.5,82.0,17526,0,teum.us
2011-12-08,82.75,83.5,72.5,76.75,19799,0,teum.us
2011-12-09,76.75,77.5,74.25,76.25,15128,0,teum.us
2011-12-12,76.5,82.5,72.25,82.5,21246,0,teum.us
2011-12-13,82.5,84.0,76.25,79.0,22451,0,teum.us
2011-12-14,78.0,79.75,75.0,77.0,17827,0,teum.us
2011-12-15,77.5,79.25,73.75,75.5,15794,0,teum.us
2011-12-16,74.5,75.0,68.75,70.25,35314,0,teum.us
2011-12-19,70.25,70.25,64.5,64.5,15185,0,teum.us
2011-12-20,65.0,70.0,62.25,69.25,15099,0,teum.us
2011-12-21,68.75,68.75,64.75,67.5,14481,0,teum.us
2011-12-22,68.5,68.5,62.5,66.25,15475,0,teum.us
2011-12-23,66.25,68.75,64.5,68.0,11879,0,teum.us
2011-12-27,66.5,74.75,66.5,70.0,28616,0,teum.us
2011-12-28,71.75,73.25,67.75,67.75,8770,0,teum.us
2011-12-29,70.0,70.5,66.25,67.5,11003,0,teum.us
2011-12-30,67.5,68.75,66.25,66.25,10863,0,teum.us
2012-01-03,68.75,68.75,64.5,67.5,8051,0,teum.us
2012-01-04,66.25,68.75,65.0,67.0,6336,0,teum.us
2012-01-05,66.75,68.5,66.75,68.5,6261,0,teum.us
2012-01-06,67.25,74.5,66.75,72.75,20744,0,teum.us
2012-01-09,73.0,78.75,71.5,75.0,16643,0,teum.us
2012-01-10,74.75,75.0,72.25,72.5,5470,0,teum.us
2012-01-11,72.5,74.75,71.5,74.5,6330,0,teum.us
2012-01-12,74.0,75.0,72.5,75.0,9973,0,teum.us
2012-01-13,75.0,75.0,72.0,72.5,11283,0,teum.us
2012-01-17,72.5,74.0,71.25,72.0,9567,0,teum.us
2012-01-18,71.0,72.5,71.0,71.25,5746,0,teum.us
2012-01-19,70.75,71.25,65.0,67.5,13822,0,teum.us
2012-01-20,69.75,72.5,66.25,69.5,8172,0,teum.us
2012-01-23,68.75,69.0,65.25,67.5,5663,0,teum.us
2012-01-24,67.25,68.75,65.0,68.5,6101,0,teum.us
2012-01-25,68.75,68.75,66.5,68.25,3675,0,teum.us
2012-01-26,67.5,68.25,63.5,64.75,9538,0,teum.us
2012-01-27,64.75,66.75,63.75,66.5,7214,0,teum.us
2012-01-30,65.5,66.75,63.75,64.25,11134,0,teum.us
2012-01-31,64.5,65.0,63.75,64.5,5466,0,teum.us
2012-02-01,65.0,68.75,63.75,67.25,23231,0,teum.us
2012-02-02,65.5,66.75,62.5,65.25,7782,0,teum.us
2012-02-03,65.0,66.25,63.75,65.0,5811,0,teum.us
2012-02-06,65.0,65.0,63.0,64.25,5174,0,teum.us
2012-02-07,63.75,63.75,59.75,60.75,13662,0,teum.us
2012-02-08,61.25,62.25,58.5,60.0,19283,0,teum.us
2012-02-09,60.0,64.0,56.75,61.25,17327,0,teum.us
2012-02-10,62.75,65.5,60.0,61.75,13114,0,teum.us
2012-02-13,63.5,63.75,60.25,62.5,10909,0,teum.us
2012-02-14,61.5,65.0,60.5,64.75,6580,0,teum.us
2012-02-15,65.0,65.5,61.75,62.25,9393,0,teum.us
2012-02-16,62.0,62.5,60.0,62.5,12913,0,teum.us
2012-02-17,63.0,63.0,60.25,62.5,2560,0,teum.us
2012-02-21,62.25,62.25,60.0,61.5,5371,0,teum.us
2012-02-22,60.5,60.5,57.75,60.0,10802,0,teum.us
2012-02-23,57.5,60.0,52.5,52.5,27423,0,teum.us
2012-02-24,55.75,60.0,52.5,57.0,34155,0,teum.us
2012-02-27,57.0,58.75,55.5,56.0,5526,0,teum.us
2012-02-28,57.0,58.0,52.5,55.0,10786,0,teum.us
2012-02-29,53.75,54.75,50.0,53.5,14940,0,teum.us
2012-03-01,53.75,56.25,52.0,56.25,9250,0,teum.us
2012-03-02,56.75,56.75,52.5,55.0,9091,0,teum.us
2012-03-05,55.25,56.0,52.0,53.0,9718,0,teum.us
2012-03-06,52.5,54.0,50.0,50.5,14914,0,teum.us
2012-03-07,53.25,56.75,52.25,56.5,33264,0,teum.us
