Date,Open,High,Low,Close,Volume,OpenInt,Name
2011-07-26,3691800.04,3717000.04,3402000.04,3439800.04,0,0,tops.us
2011-07-27,3490200.04,3528000.04,3124800.04,3364200.04,0,0,tops.us
2011-07-28,3137400.04,3137400.04,3137400.04,3137400.04,0,0,tops.us
2011-07-29,3213000.04,3225600.04,3150000.04,3213000.04,0,0,tops.us
2011-08-01,3288600.04,3313800.04,3213000.04,3313800.04,0,0,tops.us
2011-08-02,3276000.04,3276000.04,3276000.04,3276000.04,0,0,tops.us
2011-08-03,3213000.04,3263400.04,3036600.04,3263400.04,0,0,tops.us
2011-08-04,3150000.04,3150000.04,2973600.02,2973600.02,0,0,tops.us
2011-08-05,2860200.02,2973600.02,2772000.02,2885400.02,0,0,tops.us
2011-08-08,2885400.02,2885400.02,2041200.02,2419200.02,0,0,tops.us
2011-08-09,2394000.02,2520000.02,2394000.02,2520000.02,0,0,tops.us
2011-08-10,2457000.02,2746800.02,2457000.02,2646000.02,0,0,tops.us
2011-08-11,2696400.02,3061800.04,2671200.02,2961000.02,0,0,tops.us
2011-08-12,2961000.02,3175200.04,2809800.02,3175200.04,0,0,tops.us
2011-08-15,3187800.04,3427200.04,3187800.04,3238200.04,0,0,tops.us
2011-08-16,3250800.04,3452400.04,3250800.04,3452400.04,0,0,tops.us
2011-08-17,3376800.04,3376800.04,3036600.04,3150000.04,0,0,tops.us
2011-08-18,3124800.04,3124800.04,2772000.02,2772000.02,0,0,tops.us
2011-08-19,2633400.02,2835000.02,2129400.02,2532600.02,0,0,tops.us
2011-08-22,2658600.02,2658600.02,2520000.02,2633400.02,0,0,tops.us
2011-08-23,2595600.02,2595600.02,2343600.02,2457000.02,0,0,tops.us
2011-08-24,2457000.02,2583000.02,2280600.02,2356200.02,0,0,tops.us
2011-08-25,2494800.02,2646000.02,2494800.02,2646000.02,0,0,tops.us
2011-08-26,2671200.02,3024000.04,2570400.02,3024000.04,0,0,tops.us
2011-08-29,3024000.04,3024000.04,2734200.02,2734200.02,0,0,tops.us
2011-08-30,2784600.02,3024000.04,2532600.02,3024000.04,0,0,tops.us
2011-08-31,2809800.02,2835000.02,2230200.02,2305800.02,0,0,tops.us
2011-09-01,2494800.02,2608200.02,2305800.02,2381400.02,0,0,tops.us
2011-09-02,2255400.02,2772000.02,2217600.02,2595600.02,0,0,tops.us
2011-09-06,2356200.02,2633400.02,2079000.02,2230200.02,0,0,tops.us
2011-09-07,2356200.02,2520000.02,2142000.02,2242800.02,0,0,tops.us
2011-09-08,2217600.02,2318400.02,2079000.02,2154600.02,0,0,tops.us
2011-09-09,2154600.02,2331000.02,2079000.02,2142000.02,0,0,tops.us
2011-09-12,2142000.02,2205000.02,2079000.02,2091600.02,0,0,tops.us
2011-09-13,2242800.02,2242800.02,2079000.02,2079000.02,0,0,tops.us
2011-09-14,2142000.02,2142000.02,2079000.02,2079000.02,0,0,tops.us
2011-09-15,2079000.02,2079000.02,2028600.02,2079000.02,0,0,tops.us
2011-09-16,2104200.02,2104200.02,1927800.02,1927800.02,0,0,tops.us
2011-09-19,1965600.02,2079000.02,1953000.02,2079000.02,0,0,tops.us
2011-09-21,2079000.02,2079000.02,1965600.02,1965600.02,0,0,tops.us
2011-09-22,1990800.02,2028600.02,1927800.02,1940400.02,0,0,tops.us
2011-09-23,1902600.02,1902600.02,1890000.02,1890000.02,0,0,tops.us
2011-09-26,1713600.02,1827000.02,1638000.02,1827000.02,0,0,tops.us
2011-09-27,1650600.02,1814400.02,1650600.02,1663200.02,0,0,tops.us
2011-09-28,1713600.02,1713600.02,1675800.02,1675800.02,0,0,tops.us
2011-09-29,1738800.02,1890000.02,1638000.02,1827000.02,0,0,tops.us
2011-09-30,1701000.02,1839600.02,1701000.02,1827000.02,0,0,tops.us
2011-10-03,1726200.02,1890000.02,1587600.02,1587600.02,0,0,tops.us
2011-10-04,1701000.02,1701000.02,1537200.02,1537200.02,0,0,tops.us
2011-10-05,1587600.02,1625400.02,1537200.02,1537200.02,0,0,tops.us
2011-10-06,1386000.02,1486800.02,1260000.02,1386000.02,0,0,tops.us
2011-10-07,1549800.02,1549800.02,1272600.02,1335600.02,0,0,tops.us
2011-10-10,1512000.02,1512000.02,1285200.02,1285200.02,0,0,tops.us
2011-10-11,1285200.02,1297800.02,1260000.02,1285200.02,0,0,tops.us
2011-10-12,1285200.02,2646000.02,1285200.02,2457000.02,0,0,tops.us
2011-10-13,2507400.02,2683800.02,1902600.02,2545200.02,0,0,tops.us
2011-10-14,2507400.02,2759400.02,2394000.02,2658600.02,0,0,tops.us
2011-10-17,2620800.02,3540600.04,2620800.02,2646000.02,0,0,tops.us
2011-10-18,2885400.02,3124800.04,2494800.02,2809800.02,0,0,tops.us
2011-10-19,2784600.02,3074400.04,2784600.02,2898000.02,0,0,tops.us
2011-10-20,2898000.02,3099600.04,2835000.02,2898000.02,0,0,tops.us
2011-10-21,2016000.02,2898000.02,1965600.02,2721600.02,0,0,tops.us
2011-10-24,2633400.02,2772000.02,2595600.02,2721600.02,0,0,tops.us
2011-10-25,2809800.02,2847600.02,2683800.02,2721600.02,0,0,tops.us
2011-10-26,2809800.02,3099600.04,2797200.02,2935800.02,0,0,tops.us
2011-10-27,3024000.04,3364200.04,2923200.02,3213000.04,0,0,tops.us
2011-10-28,3313800.04,3641400.04,3187800.04,3553200.04,0,0,tops.us
2011-10-31,3502800.04,3591000.04,3288600.04,3515400.04,0,0,tops.us
2011-11-01,3250800.04,3313800.04,3150000.04,3200400.04,0,0,tops.us
2011-11-02,3200400.04,3364200.04,3049200.04,3339000.04,0,0,tops.us
2011-11-03,3313800.04,3313800.04,3099600.04,3276000.04,0,0,tops.us
2011-11-04,3175200.04,3376800.04,3112200.04,3150000.04,0,0,tops.us
2011-11-07,2948400.02,3061800.04,2847600.02,3061800.04,0,0,tops.us
2011-11-08,2961000.02,3011400.04,2797200.02,2898000.02,0,0,tops.us
2011-11-09,2822400.02,2961000.02,2822400.02,2935800.02,0,0,tops.us
2011-11-10,2935800.02,3024000.04,2860200.02,2885400.02,0,0,tops.us
2011-11-11,2835000.02,2872800.02,2809800.02,2860200.02,0,0,tops.us
2011-11-14,2847600.02,2860200.02,2797200.02,2860200.02,0,0,tops.us
2011-11-15,2898000.02,2935800.02,2847600.02,2935800.02,0,0,tops.us
2011-11-16,3024000.04,3087000.04,2935800.02,3024000.04,0,0,tops.us
2011-11-17,3112200.04,3150000.04,3049200.04,3150000.04,0,0,tops.us
2011-11-18,3112200.04,3402000.04,2961000.02,3150000.04,0,0,tops.us
2011-11-21,3087000.04,3276000.04,3087000.04,3276000.04,0,0,tops.us
2011-11-22,3402000.04,3402000.04,2973600.02,3162600.04,0,0,tops.us
2011-11-23,3087000.04,3250800.04,3087000.04,3137400.04,0,0,tops.us
2011-11-25,3087000.04,3087000.04,3087000.04,3087000.04,0,0,tops.us
2011-11-28,3087000.04,3087000.04,2948400.02,3049200.04,0,0,tops.us
2011-11-29,2923200.02,2998800.02,2772000.02,2885400.02,0,0,tops.us
2011-11-30,2898000.02,3036600.04,2885400.02,3036600.04,0,0,tops.us
2011-12-01,3036600.04,3137400.04,2923200.02,3137400.04,0,0,tops.us
2011-12-02,3074400.04,3339000.04,3049200.04,3276000.04,0,0,tops.us
