Date,Open,High,Low,Close,Volume,OpenInt,Name
2005-02-25,179.2,181.12,179.2,181.12,25,0,vbfc.us
2005-02-28,180.48,180.48,177.12,179.52,331,0,vbfc.us
2005-03-01,177.6,178.88,177.6,178.56,56,0,vbfc.us
2005-03-02,177.44,187.84,177.44,182.72,700,0,vbfc.us
2005-03-03,181.12,183.36,181.12,182.56,68,0,vbfc.us
2005-03-04,180.64,182.24,178.56,179.2,131,0,vbfc.us
2005-03-07,185.12,185.12,185.12,185.12,34,0,vbfc.us
2005-03-08,180.64,184.0,178.56,180.16,331,0,vbfc.us
2005-03-09,179.84,182.24,179.04,181.12,144,0,vbfc.us
2005-03-10,179.68,182.24,179.68,181.92,69,0,vbfc.us
2005-03-11,180.8,182.24,179.68,180.48,194,0,vbfc.us
2005-03-14,183.68,184.64,178.88,180.32,338,0,vbfc.us
2005-03-15,182.88,183.84,178.24,178.4,181,0,vbfc.us
2005-03-16,179.2,179.36,177.6,178.56,209,0,vbfc.us
2005-03-18,179.52,179.52,179.52,179.52,6,0,vbfc.us
2005-03-21,179.36,179.36,179.36,179.36,6,0,vbfc.us
2005-03-22,176.8,178.08,176.0,178.08,106,0,vbfc.us
2005-03-24,181.6,181.76,179.52,179.52,37,0,vbfc.us
2005-03-30,184.8,184.8,179.2,179.2,131,0,vbfc.us
2005-04-04,176.0,177.44,176.0,177.44,25,0,vbfc.us
2005-04-05,179.68,179.68,177.6,177.6,53,0,vbfc.us
2005-04-06,177.6,177.6,177.44,177.6,80,0,vbfc.us
2005-04-08,177.6,191.68,177.6,190.56,590,0,vbfc.us
2005-04-11,188.0,188.16,188.0,188.16,38,0,vbfc.us
2005-04-12,190.72,190.72,190.72,190.72,6,0,vbfc.us
2005-04-13,189.76,189.76,189.76,189.76,56,0,vbfc.us
2005-04-14,193.6,194.24,190.4,190.4,440,0,vbfc.us
2005-04-15,192.0,192.0,192.0,192.0,19,0,vbfc.us
2005-04-18,192.0,192.0,191.84,191.84,22,0,vbfc.us
2005-04-19,192.0,193.6,191.2,191.2,125,0,vbfc.us
2005-04-20,191.2,191.2,191.2,191.2,344,0,vbfc.us
2005-04-21,191.2,192.0,188.8,191.36,413,0,vbfc.us
2005-04-26,191.36,191.36,191.36,191.36,31,0,vbfc.us
2005-04-28,192.0,192.0,187.2,187.2,19,0,vbfc.us
