Date,Open,High,Low,Close,Volume,OpenInt,Name
2010-06-15,112.0,112.0,112.0,112.0,6,0,vive.us
2010-06-16,112.0,112.0,104.0,104.0,31,0,vive.us
2010-06-17,104.0,104.0,104.0,104.0,13,0,vive.us
2010-06-18,104.0,104.0,104.0,104.0,2,0,vive.us
2010-06-21,105.6,105.6,105.6,105.6,0,0,vive.us
2010-06-22,104.0,104.0,104.0,104.0,1,0,vive.us
2010-06-23,104.0,104.0,104.0,104.0,0,0,vive.us
2010-06-24,108.0,120.0,108.0,120.0,2,0,vive.us
2010-06-25,104.0,104.0,96.0,96.0,1,0,vive.us
2010-06-28,96.0,96.0,80.0,80.8,97,0,vive.us
2010-06-29,80.8,80.8,80.8,80.8,6,0,vive.us
2010-06-30,80.8,80.8,80.8,80.8,1,0,vive.us
2010-07-02,80.8,80.8,80.8,80.8,3,0,vive.us
2010-07-06,80.8,80.8,44.0,44.0,48,0,vive.us
2010-07-07,52.0,64.0,52.0,64.0,10,0,vive.us
2010-07-09,52.0,52.0,52.0,52.0,0,0,vive.us
2010-07-12,52.0,56.0,52.0,52.0,2,0,vive.us
2010-07-13,52.8,88.0,52.8,52.8,6,0,vive.us
2010-07-14,52.8,56.0,52.8,52.8,3,0,vive.us
2010-07-16,55.2,55.2,55.2,55.2,1,0,vive.us
2010-07-19,56.0,56.0,56.0,56.0,0,0,vive.us
2010-07-20,56.0,80.0,56.0,80.0,20,0,vive.us
2010-07-21,80.0,80.0,56.0,56.0,16,0,vive.us
2010-07-23,64.0,64.0,64.0,64.0,19,0,vive.us
2010-07-27,64.0,64.0,64.0,64.0,5,0,vive.us
2010-07-29,84.0,84.0,72.0,72.0,9,0,vive.us
2010-07-30,64.0,64.0,64.0,64.0,0,0,vive.us
2010-08-02,66.0,66.0,66.0,66.0,6,0,vive.us
2010-08-03,64.0,64.0,64.0,64.0,1,0,vive.us
2010-08-06,64.0,64.0,64.0,64.0,1,0,vive.us
2010-08-09,64.0,68.0,64.0,64.0,19,0,vive.us
